epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,298.604,4.37765,3.77885,3.90278,0.09416,0.11477,0.09183,0.03498,2.47262,2.4379,2.90517,0.00332861,0.00332861,0.00332861
2,581.402,1.64089,1.47097,2.37782,0.269,0.35304,0.27951,0.17082,1.32865,1.19649,2.30017,0.00664546,0.00664546,0.00664546
3,846.056,1.21212,1.10143,2.03698,0.39174,0.45543,0.39286,0.25322,1.09622,0.93086,2.04353,0.0099458,0.0099458,0.0099458
4,1105.56,1.08196,0.93943,1.9092,0.36509,0.4264,0.35035,0.25268,0.9332,0.9662,1.99803,0.00992575,0.00992575,0.00992575
5,1357.45,0.9996,0.84079,1.84046,0.50402,0.57248,0.52795,0.37471,0.88816,0.74887,1.88132,0.009901,0.009901,0.009901
6,1616.45,0.95814,0.79093,1.80099,0.51836,0.55515,0.53592,0.38437,0.85912,0.71969,1.86964,0.00987625,0.00987625,0.00987625
7,1875.61,0.93207,0.74792,1.76305,0.51336,0.64088,0.58314,0.42953,0.82852,0.68001,1.81025,0.0098515,0.0098515,0.0098515
8,2134.83,0.90746,0.72557,1.74808,0.60189,0.58522,0.59884,0.44174,0.81867,0.69097,1.82141,0.00982675,0.00982675,0.00982675
9,2393.58,0.89754,0.70936,1.733,0.62189,0.64563,0.64875,0.4864,0.79767,0.62647,1.79142,0.009802,0.009802,0.009802
10,2651.11,0.88293,0.68992,1.71863,0.61936,0.6619,0.65857,0.49862,0.78199,0.61535,1.79143,0.00977725,0.00977725,0.00977725
11,2908.56,0.87555,0.67482,1.71306,0.63244,0.6723,0.67151,0.5117,0.77783,0.5936,1.75623,0.0097525,0.0097525,0.0097525
12,3166.05,0.86625,0.66721,1.69995,0.65353,0.68197,0.68492,0.52061,0.77304,0.59242,1.7645,0.00972775,0.00972775,0.00972775
13,3423.31,0.86033,0.65892,1.69033,0.67231,0.70543,0.7068,0.54431,0.76208,0.56999,1.75553,0.009703,0.009703,0.009703
14,3680.25,0.85587,0.64795,1.68662,0.67574,0.69097,0.70609,0.54761,0.75826,0.58164,1.74273,0.00967825,0.00967825,0.00967825
15,3937.16,0.85008,0.6429,1.67582,0.64871,0.69039,0.68263,0.53167,0.75744,0.57517,1.74437,0.0096535,0.0096535,0.0096535
