epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.348,3.58609,3.1076,3.42365,0.73686,0.1278,0.15652,0.08131,1.82348,1.5951,2.71517,0.00332704,0.00332704,0.00332704
2,226.044,1.53029,1.38783,2.31826,0.25571,0.3462,0.27239,0.17093,1.23048,1.11744,2.30369,0.00664389,0.00664389,0.00664389
3,322.611,1.30495,1.18056,2.107,0.2771,0.37099,0.2779,0.1813,1.16084,1.07815,2.18574,0.00994424,0.00994424,0.00994424
4,417.708,1.15058,1.03374,1.98446,0.30152,0.46383,0.35274,0.2343,1.10092,0.92135,2.00301,0.00992575,0.00992575,0.00992575
5,511.937,1.06608,0.92995,1.90167,0.38633,0.50051,0.41813,0.2945,0.94511,0.83209,1.93202,0.009901,0.009901,0.009901
6,606.349,1.01653,0.878,1.86512,0.40001,0.52573,0.44031,0.3094,0.93986,0.76881,1.93267,0.00987625,0.00987625,0.00987625
7,700.587,0.99065,0.84158,1.82418,0.42407,0.57525,0.48698,0.35275,0.88374,0.73699,1.86527,0.0098515,0.0098515,0.0098515
8,795.153,0.9649,0.8124,1.80758,0.50201,0.59636,0.52433,0.3793,0.86101,0.71972,1.86103,0.00982675,0.00982675,0.00982675
9,889.268,0.95055,0.79114,1.79225,0.50677,0.60199,0.53738,0.39592,0.84266,0.68664,1.83656,0.009802,0.009802,0.009802
10,983.623,0.93889,0.7736,1.77716,0.55969,0.58763,0.56909,0.41956,0.84488,0.67746,1.83071,0.00977725,0.00977725,0.00977725
11,1078.4,0.92978,0.75556,1.76704,0.55961,0.61029,0.57933,0.42752,0.83551,0.67858,1.81761,0.0097525,0.0097525,0.0097525
12,1172.73,0.9223,0.7486,1.76022,0.55179,0.63571,0.59655,0.44624,0.81929,0.65322,1.82409,0.00972775,0.00972775,0.00972775
13,1266.96,0.91562,0.73435,1.75256,0.57679,0.62148,0.61007,0.44514,0.81248,0.64314,1.81772,0.009703,0.009703,0.009703
14,1361.19,0.9116,0.73219,1.7409,0.56865,0.6568,0.62094,0.46691,0.81512,0.63215,1.7813,0.00967825,0.00967825,0.00967825
15,1455.38,0.90156,0.72547,1.73832,0.56988,0.64263,0.61838,0.46215,0.80915,0.63359,1.77166,0.0096535,0.0096535,0.0096535
16,1548.78,0.9038,0.71774,1.72843,0.58957,0.66582,0.64293,0.48464,0.79555,0.61282,1.77214,0.00962875,0.00962875,0.00962875
17,1642.73,0.89495,0.70795,1.72698,0.59758,0.65987,0.6296,0.4741,0.79734,0.62258,1.77237,0.009604,0.009604,0.009604
18,1736.18,0.89624,0.70898,1.72196,0.61839,0.66838,0.65293,0.49354,0.79287,0.61436,1.77583,0.00957925,0.00957925,0.00957925
19,1830.24,0.88772,0.69775,1.71962,0.59269,0.66863,0.64157,0.48474,0.78933,0.59932,1.77359,0.0095545,0.0095545,0.0095545
20,1923.26,0.88481,0.69367,1.71291,0.6217,0.67057,0.66197,0.50282,0.78725,0.59617,1.75021,0.00952975,0.00952975,0.00952975
21,2017.56,0.88473,0.68936,1.71186,0.62793,0.67409,0.66757,0.51115,0.7776,0.59154,1.74897,0.009505,0.009505,0.009505
22,2111.64,0.87852,0.68475,1.70665,0.63862,0.67763,0.67094,0.51444,0.77402,0.58065,1.74838,0.00948025,0.00948025,0.00948025
23,2206.54,0.87795,0.67938,1.7019,0.65122,0.69315,0.68924,0.52635,0.77426,0.58304,1.75816,0.0094555,0.0094555,0.0094555
24,2300.76,0.87248,0.67801,1.69651,0.65894,0.67818,0.68474,0.52566,0.7681,0.57647,1.73708,0.00943075,0.00943075,0.00943075
25,2394.08,0.8729,0.6739,1.69374,0.64842,0.69697,0.69313,0.53398,0.76615,0.57564,1.74509,0.009406,0.009406,0.009406
26,2488.25,0.87035,0.66846,1.70092,0.65286,0.69855,0.6934,0.53446,0.7666,0.57411,1.73854,0.00938125,0.00938125,0.00938125
27,2582.51,0.86739,0.66566,1.69769,0.66049,0.70703,0.7067,0.54603,0.76098,0.56688,1.73105,0.0093565,0.0093565,0.0093565
